name,country,sport,substance,link,birthday
Zakari Hadiza,Nigeria,Weightlifting,"['Stanozolol,', 'Hydroxystanozolol']",Page does not exist.,N/A
Hae-In Shin,South Korea,Swimming,['Testosterone'],Page does not exist.,N/A
Noriyuki Haga,Japan,Motorcycle racing,['Ephedrine'],/wiki/Noriyuki_Haga,N/A
Simona Halep,Romania,Tennis,['Roxadustat'],/wiki/Simona_Halep,1991-09-27
Alex Hales,England,Cricket,"['Recreational', 'drugs']",/wiki/Alex_Hales,1989-01-03
Carey Hall,Australia,Cycling,['Steroids'],Page does not exist.,N/A
Dennis Hallman,United States,Mixed martial arts,"['Drostanolone,', 'Nandrolone']",/wiki/Dennis_Hallman,1975-12-02
Bo Hamburger,Denmark,Cycling,"['Erythropoietin', '(EPO)', '(admitted', 'years', 'after', 'being', 'cleared', 'by', 'CAS)']",/wiki/Bo_Hamburger,1970-05-24
Tyler Hamilton,United States,Cycling,"['Blood', 'transfusions,', 'EPO,', 'Testosterone,', 'DHEA', '(self-admitted)']",/wiki/Tyler_Hamilton,1971-03-01
Morgan Hamm,United States,Gymnastics,"['Glucocorticosteroid', '(only', 'given', 'public', 'warning)']",/wiki/Morgan_Hamm,1982-09-24
Mohammad Hanif,Pakistan,Bodybuilding,[],Page does not exist.,N/A
Jessica Hardy,United States,Swimming,['Clenbuterol'],/wiki/Jessica_Hardy,1987-03-12
Badr Hari,Morocco,Kickboxing,[],/wiki/Badr_Hari,1984-12-08
Justin Harrison,England,Rugby,[],/wiki/Justin_Harrison,1974-04-20
Rodney Harrison,United States,American football,"['Human', 'growth', 'hormone']",/wiki/Rodney_Harrison,1972-12-15
Matthew Hart,New Zealand,Cricket,['Cannabis'],/wiki/Matthew_Hart,1972-05-16
Naira Harutyunyan,Armenia,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Raza Hasan,Pakistan,Cricket,[],/wiki/Raza_Hasan,1992-07-08
Ricky Hatton,United Kingdom,Boxing,['Cocaine'],/wiki/Ricky_Hatton,1978-10-06
Gareth Head,Canada,Water polo,['Cannabis'],Page does not exist.,N/A
Troy Hearfield,Australia,Football (soccer),"['Recreational', 'drugs']",/wiki/Troy_Hearfield,1987-10-31
Edwin Hedberg,Sweden,Ice hockey,['Sibutramine'],/wiki/Edwin_Hedberg,1994-01-29
Yepremyan Heghine,Armenia,Weightlifting,['Metandienone'],Page does not exist.,N/A
Christian Henn,Germany,Cycling,"['Erythropoietin', '(EPO)', '(self-admitted)']",/wiki/Christian_Henn,1964-02-01
Roberto Heras,Spain,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Roberto_Heras,1974-02-01
Aleksandra Herasimenia,Belarus,Swimming,['Nandrolone'],/wiki/Aleksandra_Herasimenia,1985-12-31
Félix Heredia,Dominican Republic,Baseball,['Steroids'],/wiki/F%C3%A9lix_Heredia,1975-06-18
Keith Hernandez,United States,Baseball,['Cocaine'],/wiki/Keith_Hernandez,1953-10-20
Vanessa Hernandez,France,Water polo,['Cannabis'],Page does not exist.,N/A
Pascal Herve,France,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Pascal_Herve,1964-07-13
Kelly Heuchen,Australia,Swimming,"['Refusal', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Alex Higgins,United Kingdom,Snooker,"['Avoided', 'test', 'by', 'disruption']",/wiki/Alex_Higgins,1949-03-18
René Higuita,Colombia,Football (soccer),['Cocaine'],/wiki/Ren%C3%A9_Higuita,1966-08-27
Giorgos Himonetos,Greece,Cycling,"['Steroid', '(stanozolol)']",Page does not exist.,N/A
Martina Hingis,Switzerland,Tennis,['Cocaine'],/wiki/Martina_Hingis,1980-09-30
Shane Hmiel,United States,Auto racing,"['Cocaine,', 'Cannabis']",/wiki/Shane_Hmiel,1980-05-15
Thnat Zin Hnin,Myanmar,Weightlifting,[],Page does not exist.,N/A
Anh Hoang,Vietnam,Weightlifting,['Oxilfrine'],Page does not exist.,N/A
Aad van den Hoek,Netherlands,Cycling,['Coramine'],/wiki/Aad_van_den_Hoek,1951-10-14
Gareth Hock,England,Rugby League,"['Cocaine,', 'benzoylecgonine']",/wiki/Gareth_Hock,1983-09-05
Corran Hocking,Australia,Weightlifting,['Benzylpiperazine'],/wiki/Corran_Hocking,1980-07-29
Mary Hofer,United States,Swimming,"['Refusal', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Jörg Hoffmann (swimmer),East Germany,Swimming,"['Turinabol', '(self-admitted)']",/wiki/J%C3%B6rg_Hoffmann_(swimmer),1970-01-29
Detlef Hofmann,Germany,Canoeing,[],/wiki/Detlef_Hofmann,N/A
Gudrun Høie,Norway,Wrestling,"['Failure', 'to', 'reveal', 'whereabouts']",/wiki/Gudrun_H%C3%B8ie,1970-07-13
Dusan Holas,Slovakia,Water polo,['Hydrochlorothiazide'],Page does not exist.,N/A
Al Holland,United States,Baseball,['Cocaine'],/wiki/Al_Holland,1952-08-16
Brian Holm,Denmark,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Brian_Holm,1962-10-02
Danilo Hondo,Germany,Cycling,['Carphedon'],/wiki/Danilo_Hondo,1974-01-04
Mariano Hood,Argentina,Tennis,['Finasteride'],/wiki/Mariano_Hood,1973-08-14
Fader Hosni,Palestine,Weightlifting,['Metandienone'],Page does not exist.,N/A
Camille Houdayer,France,Swimming,['Cannabis'],Page does not exist.,N/A
Peter Howe,United Kingdom,Bobsleigh,"['Failure', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Steve Howe,United States,Baseball,['Cocaine'],/wiki/Steve_Howe_(baseball),1958-03-10
Gemma Howells,United Kingdom,Swimming,['Pseudoephedrine'],Page does not exist.,N/A
Miguel Hoyos,Bolivia,Football (soccer),['Dexamethasone'],/wiki/Miguel_Hoyos,1981-03-11
Tatsiana Hramyka,Belarus,Weightlifting,[],/wiki/Tatsiana_Hramyka,N/A
Jan Hruška,Czech Republic,Cycling,[],/wiki/Jan_Hru%C5%A1ka,1975-02-04
Mustafa Hshad,Libya,Weightlifting,['Metandienone'],Page does not exist.,N/A
Huang Tzu-Ching,Chinese Taipei,Weightlifting,['Metandienone'],Page does not exist.,N/A
Hu Bin,China,Swimming,[],/wiki/Hu_Bin,N/A
Hu Shaozhi,China,Swimming,['Clenbuterol'],Page does not exist.,N/A
Ryan Hudson,United Kingdom,Rugby league,['Stanozolol'],/wiki/Ryan_Hudson,1979-11-20
Jaime Huelamo,Spain,Cycling,[],/wiki/Jaime_Huelamo,1948-11-17
Brent Hughes,United Kingdom,Ice hockey,['Furosemide'],Page does not exist.,N/A
Liao Hui,China,Weightlifting,"['Boldenone,', 'Androstatrienedione']",/wiki/Liao_Hui_(weightlifter),1987-10-05
Daniela Hunger,East Germany,Swimming,"['Anabolic', 'steroids', '(self-admitted)']",/wiki/Daniela_Hunger,1972-03-20
Gary Hunt,England,Diving,['cannabis'],/wiki/Gary_Hunt,1984-06-11
Mohd Husein,Afghanistan,Weightlifting,['Methandienone'],Page does not exist.,N/A
Ondřej Hutník,Czech Republic,Kickboxing,['Hydroxystanozolol'],/wiki/Ond%C5%99ej_Hutn%C3%ADk,1983-02-19
Martin Hvastija,Slovenia,Cycling,[],/wiki/Martin_Hvastija,1969-11-30
Christos Iakovou,Greece,Weightlifting,['Steroids'],/wiki/Christos_Iakovou,1948-04-12
Iryna Iarosh,Ukraine,Rowing,"['Numerous', 'banned', 'substances']",Page does not exist.,N/A
Jazmin Ibeth,Mexico,Weightlifting,[],Page does not exist.,N/A
Sarmadm Idrees,Iraq,Weightlifting,['Metandienone'],Page does not exist.,N/A
Fernando Iglesias,Argentina,Wrestling,"['Clenbuterol,', 'Furosemide']",Page does not exist.,N/A
Glenn Ikonen,Sweden,Wheelchair curling,[],/wiki/Glenn_Ikonen,N/A
Babak Imcheh,Iran,Wrestling,['Norandrosterone'],Page does not exist.,N/A
Janne Immonen,Finland,Cross-country skiing,['HES'],/wiki/Janne_Immonen,1968-05-29
Guto Inocente,Brazil,Kickboxing,"['Stanozolol,', 'anastrozole,', 'tamoxifen', 'and', 'THC']",/wiki/Guto_Inocente,1986-05-29
In Sun Hong,North Korea,Diving,['Furosemide'],Page does not exist.,N/A
Ekaterina Iourieva,Russia,Biathlon,['r-EPO'],/wiki/Ekaterina_Iourieva,1983-06-11
Muzaffar Iqbal Mirza,Pakistan,Boxing,[],Page does not exist.,N/A
Yusaku Iriki,Japan,Baseball,['Steroids'],/wiki/Yusaku_Iriki,1972-08-08
Laurent Irish,United Kingdom,Basketball,['Cannabis'],Page does not exist.,N/A
James Irvin,United States,Mixed martial arts,"['Methadone', 'and', 'oxymorphone']",/wiki/James_Irvin_(fighter),1978-09-12
Michael Irvin,United States,American football,['Cocaine'],/wiki/Michael_Irvin,1966-03-05
Bala Isa,Albania,Weightlifting,[],Page does not exist.,N/A
Anzur Ismailov,Uzbekistan,Football (soccer),['Cannabis'],/wiki/Anzur_Ismailov,1985-04-21
Gunduz Ismayilov,Azerbaijan,Powerlifting,['Stanozolol'],Page does not exist.,N/A
Jari Isometsä,Finland,Cross-country skiing,['HES'],/wiki/Jari_Isomets%C3%A4,1968-09-11
Mark Iuliano,Italy,Football (soccer),['Cocaine'],/wiki/Mark_Iuliano,1973-08-12
Dobri Ivanov,Bulgaria,Wrestling,"['Methandienone,', 'Clenbuterol']",/wiki/Dobri_Ivanov,1964-11-22
Anastasia Ivanenko,Russia,Swimming,['Furosemide'],Page does not exist.,N/A
Ivan Ivanov,Bulgaria,Weightlifting,['Furosemide'],/wiki/Ivan_Ivanov_(weightlifter),1971-08-27
Ksenia Ivlieva,Russia,Swimming,['Furosemide'],Page does not exist.,N/A
McKnee Ivorn,Barbados,Weightlifting,"['T/E', '9,6']",Page does not exist.,N/A
Ince Izzet,Turkey,Weightlifting,['Methandienone'],Page does not exist.,N/A
Shayna Jack,Australia,Swimming,['Ligandrol'],/wiki/Shayna_Jack,1998-11-06
Mette Jacobsen,Denmark,Swimming,"['Prednisolone,', 'Prednisone']",/wiki/Mette_Jacobsen,1973-03-24
Mahmoud Jadaan,Syria,Swimming,['Metenolone'],Page does not exist.,N/A
Jörg Jaksche,Germany,Cycling,"['Erythropoietin', '(EPO)']",/wiki/J%C3%B6rg_Jaksche,1976-07-23
Laurent Jalabert,France,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Laurent_Jalabert,1968-11-30
Jiraporn Janchum,Thailand,Weightlifting,['Methandienone'],Page does not exist.,N/A
Paulo Bruno Janeiro,Brazil,Swimming,['Cannabis'],Page does not exist.,N/A
Michal Jarczak,Poland,Gymnastics,['THC'],Page does not exist.,N/A
Daniel Jardemyr,Sweden,Ice hockey,['Amphetamine'],Page does not exist.,N/A
Sabri Jari,Tunisia,Swimming,"['Refusal', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Mohammed Jassim,Iraq,Weightlifting,['Cortisone'],/wiki/Mohammed_Jassim,1996-11-26
Ernst Jean-Joseph,Haiti,Football (soccer),['Phenmetrazine'],/wiki/Ernst_Jean-Joseph,1948-06-11
Leon Jeanne,Wales,Football (soccer),[],/wiki/Leon_Jeanne,1980-11-17
Genevieve Jeanson,Canada,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Genevieve_Jeanson,1981-08-29
Brian Dalgaard Jensen,Denmark,Cycling,"['Erythropoietin', '(EPO)']",Page does not exist.,N/A
Knud Enemark Jensen,Denmark,Cycling,['Amphetamines'],/wiki/Knud_Enemark_Jensen,1936-11-30
Aubrey Jesseau,Canada,Canadian football,['Stanozolol'],Page does not exist.,N/A
Tomas Johansson,Sweden,Sport wrestling,"['Anabolic', 'steroids']",/wiki/Tomas_Johansson_(wrestler),1962-07-20
Therese Johaug,Norway,Cross-country skiing,"['Anabolic', 'steroid', 'Clostebol']",/wiki/Therese_Johaug,1988-06-25
Ben Johnson,Canada,Sprinting,['Stanozolol'],/wiki/Ben_Johnson_(Canadian_sprinter),1961-12-30
Gea Johnson,United States,Athletics (Hept),"['Anabolic', 'steroids']",Page does not exist.,N/A
Gea Johnson,United States,Weightlifting,['Epitestosterone'],Page does not exist.,N/A
Gea Johnson,United States,Cycling,['Modafinil'],Page does not exist.,N/A
Willie Johnston,Scotland,Football (soccer),['Reactivan'],/wiki/Willie_Johnston,1946-12-19
Harrison Jones,United States,Diving,['Cannabis'],Page does not exist.,N/A
Roy Jones Jr.,United States,Boxing,"['Androstenedione', '(Banned', 'substance', 'by', 'the', 'IBF', 'but', 'available', 'legally', 'over-the-counter', 'in', 'the', 'US', 'at', 'time', 'of', 'use)']",/wiki/Roy_Jones_Jr.,1969-01-16
Ahmad Joughili,Syria,Weightlifting,['Metandienone'],Page does not exist.,N/A
Alberto Jose,Dominican Republic,Weightlifting,"['Methandienone,', 'Dehydrochlormethyltestosterone']",Page does not exist.,N/A
Mi Naw Ju,Myanmar,Weightlifting,[],Page does not exist.,N/A
Rui Jorge,Portugal,Association football,"['Budesonide', '(ban', 'lifted', 'due', 'to', 'Sporting', ""CP's"", 'failure', 'to', 'notify', 'authorities', 'of', 'his', 'medical', 'exemption)']",/wiki/Rui_Jorge,1973-03-27
Miguel Juarez,Venezuela,Swimming,['Nandrolone'],/wiki/Miguel_Juarez,1931-09-29
Olivera Juric,Bosnia and Herzegovina,Weightlifting,['Metandienone'],Page does not exist.,N/A
Ladislav Jusko,Czech Republic,Water polo,['Cannabis'],Page does not exist.,N/A
Alina Kabaeva,Russia,Rhythmic gymnastics,['Furosemide'],/wiki/Alina_Kabaeva,1983-05-12
Alimuddin Kakar,Pakistan,Weightlifting,[],Page does not exist.,N/A
Georgios Kalogeropoulos,Greece,Swimming,['Cannabis'],Page does not exist.,N/A
Mohamed Kallon,Sierra Leone,Football (soccer),['Nandrolone'],/wiki/Mohamed_Kallon,1979-10-06
Kaspars Kambala,Latvia,Basketball,"['Cocaine', 'metabolite']",/wiki/Kaspars_Kambala,1978-12-13
Ruslan Kapaev,Kyrgyzstan,Weightlifting,[],Page does not exist.,N/A
Tovmasjan Karen,Netherlands,Weightlifting,['Metandienone'],Page does not exist.,N/A
Rogerio Karfunkelstein,Brazil,Swimming,['Stanozolol'],Page does not exist.,N/A
Faisal Karim,Pakistan,Boxing,['Cannabis'],/wiki/Faisal_Karim,1981-12-21
Nauman Karim,Pakistan,Boxing,[],/wiki/Nauman_Karim,N/A
Mario Kasun,Croatia,Basketball,['Cathine'],/wiki/Mario_Kasun,1980-04-05
Kevin Kasuza,Zimbabwe,Cricket,"['Recreational', 'drugs']",/wiki/Kevin_Kasuza,1993-06-20
Sesil Karatantcheva,Bulgaria,Tennis,['Nandrolone'],/wiki/Sesil_Karatantcheva,1989-08-08
Svend Karlsen,Norway,Strongmen,[],/wiki/Svend_Karlsen,1967-10-06
Mohd Karmand,Afghanistan,Weightlifting,['Methandienone'],Page does not exist.,N/A
Samko Karol,Slovakia,Weightlifting,['Drostanolone'],Page does not exist.,N/A
Fetie Kasaj,Albania,Weightlifting,[],Page does not exist.,N/A
Vasiliki Kasapi,Greece,Weightlifting,"['Methyltrienolone,', 'Buprenorphine']",/wiki/Vasiliki_Kasapi,1983-03-22
Andrey Kashechkin,Kazakhstan,Cycling,"['Blood', 'doping']",/wiki/Andrey_Kashechkin,1980-03-21
Asmaa Kataria,Egypt,Swimming,['Ephedrine'],Page does not exist.,N/A
Gursharanpreet Kaur,India,Wrestling,['Methylhexaneamine'],Page does not exist.,N/A
Valeriya Kaverina,Russia,Weightlifting,['Metandienone'],Page does not exist.,N/A
Devi Kavita,India,Weightlifting,['Metandienone'],/wiki/Devi_Kavita,1986-09-20
Valery Kaykov,Russia,Cycling,['GW501516'],/wiki/Valery_Kaykov,1988-05-07
Kboi,Vietnam,Weightlifting,"['Testosterone,', 'Epitestosterone']",Page does not exist.,N/A
Zoltan Kecskes,Hungary,Weightlifting,[],/wiki/Zoltan_Kecskes,1974-07-14
Lachlan Keeffe,Australia,Australian rules football,['Clenbuterol'],/wiki/Lachlan_Keeffe,1990-04-14
Ronwin Kelly,South Africa,Rugby union (former bodybuilder),['Nandrolone'],Page does not exist.,N/A
Robert Kendrick,United States,Tennis,['Methylhexaneamine'],/wiki/Robert_Kendrick,1979-11-15
Daniel Kenedy,Portugal,Football (soccer),['Furosemide'],/wiki/Daniel_Kenedy,1974-02-18
Paddy Kenny,Ireland,Football (soccer),['ephedrine'],/wiki/Paddy_Kenny,1978-05-17
David Kerkhoffs,Belgium,Swimming,['Cannabinoids'],Page does not exist.,N/A
Jason Kerr,Canada,Bobsleigh,"['Boldenone,', 'nandrolone,', 'testosterone,', 'trenbolone']",Page does not exist.,N/A
Paul-Alain Kersale,France,Swimming,['Cannabinoids'],Page does not exist.,N/A
Matthias Kessler,Germany,Cycling,['Testosterone'],/wiki/Matthias_Kessler,1979-05-16
El Maoui Khalil,Tunisia,Weightlifting,['Methylhexaneamine'],Page does not exist.,N/A
Naglaa Hamed Khallaf,Egypt,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Vitaliy Khan,Kazakhstan,Swimming,['Cannabis'],/wiki/Vitaliy_Khan,1985-09-04
Masuam Khatri,India,Wrestling,['Methylhexaneamine'],Page does not exist.,N/A
Praeonapa Khenjantuek,Thailand,Weightlifting,['Metandienone'],Page does not exist.,N/A
Nan Aye Khine,Myanmar,Weightlifting,['Steroids'],/wiki/Nan_Aye_Khine,N/A
Natalia Khlestkina,Romania,Weightlifting,['Metenolone'],/wiki/Natalia_Khlestkina,1992-04-23
Bahodur Kholov,Tajikistan,Weightlifting,['Nandrolone'],Page does not exist.,N/A
Yaroslav Khoma,Ukraine,Football (soccer),[],/wiki/Yaroslav_Khoma,1974-02-17
Albina Khomich,Russia,Weightlifting,"['Anabolic', 'steroids']",Page does not exist.,N/A
Yekaterina Khoroshikh,Russia,Hammer throwing,[],/wiki/Yekaterina_Khoroshikh,N/A
Natalya Khudyakova,Ukraine,Swimming,['Stanozolol'],Page does not exist.,N/A
Oksana Khvostenko,Ukraine,Biathlon,[],/wiki/Oksana_Khvostenko,N/A
Zbyszko Kienast,United Kingdom,Weightlifting,['Testosterone'],Page does not exist.,N/A
Rotson Kilambe,Zambia,Football (soccer),['Cannabis'],/wiki/Rotson_Kilambe,N/A
Kazbek Kilou,Belarus,Wrestling,['Metenolone'],Page does not exist.,N/A
Igor Kim,Kazakhstan,Weightlifting,"['Furosemide,', 'T/E', '21.4']",/wiki/Igor_Kim,1966-01-12
Kim Jong Su,North Korea,Shooting,['Propanolol'],/wiki/Kim_Jong_Su,N/A
Hyang Kim,North Korea,Weightlifting,"['Methyltestosterone,', 'Methandriol']",Page does not exist.,N/A
Gerard Kinsella,England,Football (soccer),['Nandrolone'],Page does not exist.,N/A
Gergana Kirilova,Bulgaria,Weightlifting,['Steroids'],/wiki/Gergana_Kirilova,1972-06-18
Harri Kirvesniemi,Finland,Cross-country skiing,['HES'],/wiki/Harri_Kirvesniemi,1958-05-10
Karolin Kittel,Germany,Swimming,"['Refusal', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Steffen Kjærgaard,Norway,Cycling,[],/wiki/Steffen_Kj%C3%A6rgaard,1973-05-24
Boonnatee Klakasikit,Thailand,Weightlifting,['Methandienone'],Page does not exist.,N/A
Rory Kleinveldt,South Africa,Cricket,['Marijuana'],/wiki/Rory_Kleinveldt,1983-03-15
Ivan Klim,Belarus,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Vitali Klitschko,Ukraine,Boxing,"['Anabolic', 'steroids', '(self-admitted)']",/wiki/Vitali_Klitschko,1971-07-19
Kasem Knakri,Syria,Weightlifting,[],Page does not exist.,N/A
Tonya Knight,United States,Bodybuilding,"['Using', 'a', 'stand-in', 'when', 'chosen', 'for', 'a', 'random', 'drug', 'test']",/wiki/Tonya_Knight,1966-03-24
Bernhard Kohl,Austria,Cycling,['CERA'],/wiki/Bernhard_Kohl,1982-01-04
Francis Kombe,Zambia,Football (soccer),['Cannabis'],Page does not exist.,N/A
Anton Komlev,Russia,Swimming,[],Page does not exist.,N/A
Izabela Kondraszuk,Poland,Gymnastics,['Dimethylpentylamine'],Page does not exist.,N/A
Yoann Kongolo,Switzerland,Kickboxing,"['Methandrostenolone', 'and', 'stanozolol']",/wiki/Yoann_Kongolo,1987-09-11
Mouhanad Korabi,Syria,Weightlifting,"['Stanozolol,', 'Metenolone,', 'Methyltestosterone']",Page does not exist.,N/A
Olha Korbka,Ukraine,Weightlifting,['Methandienone'],Page does not exist.,N/A
Petr Korda,Czech Republic,Tennis,['Nandrolone'],/wiki/Petr_Korda,1968-01-23
Juha Korhonen,Finland,Swimming,['Cannabis'],/wiki/Juha_Korhonen,N/A
Andrey Korneyev,Russia,Swimming,['Bromantan'],/wiki/Andrey_Korneyev,1974-01-10
Chris Korol,Canada,Bobsleigh,[],Page does not exist.,N/A
Ekaterina Koroleva,Russia,Cycling,[],Page does not exist.,N/A
Anzhelika Kotyuga,Belarus,Speed skating,"['Anabolic', 'steroids']",/wiki/Anzhelika_Kotyuga,1970-05-26
Eleni Kourtelidou,Greece,Weightlifting,"['Methyltrienolone,', 'Buprenorphine']",Page does not exist.,N/A
Nikos Kourtidis,Greece,Weightlifting,[],/wiki/Nikos_Kourtidis,1986-04-01
Zoltán Kovács,Hungary,Weightlifting,"['Refusal', 'to', 'provide', 'test']",/wiki/Zolt%C3%A1n_Kov%C3%A1cs_(weightlifter),1977-08-24
Justyna Kowalczyk,Poland,Cross-country skiing,['Dexamethason'],/wiki/Justyna_Kowalczyk,1983-01-19
Kateryna Kozlova,Ukraine,Tennis,"['1,3-Dimethylbutylamine']",/wiki/Kateryna_Kozlova,1994-02-20
Nina Kraft,Germany,Triathlon,"['Erythropoietin', '(EPO)']",/wiki/Nina_Kraft,1968-12-31
Natascha Kraus,Germany,Swimming,['Reproterol'],Page does not exist.,N/A
Daniel Kreutzer,Germany,Ice hockey,"['Missed', 'test']",/wiki/Daniel_Kreutzer,1979-10-23
Tobias Kreuzmann,Germany,Swimming,['Finasteride'],/wiki/Tobias_Kreuzmann,1981-06-15
Lennie Kristensen,Denmark,Cycling,[],/wiki/Lennie_Kristensen,1968-05-16
Ante Krizan,Croatia,Swimming,['Methylhexaneamine'],Page does not exist.,N/A
Lubos Krizko,Slovakia,Swimming,['Tamoxifen'],/wiki/Lubos_Krizko,N/A
Karen Kronemeyer,Netherlands,Squash,['Benzylpiperazine'],Page does not exist.,N/A
Stein Olav Krosby,Norway,"Speed skating, long track",['Testosterone'],Page does not exist.,N/A
Roman Kryklia,Ukraine,Kickboxing,"['Meldonium,', 'clenbuterol']",/wiki/Roman_Kryklia,1991-10-11
Andrey Krylov,Russia,Gymnastics,['THC'],/wiki/Andrey_Krylov_(gymnast),1988-11-14
Herkie Kruger,South Africa,Rugby union,['Nandrolone'],Page does not exist.,N/A
Vasyl Kruk,Ukraine,Weightlifting,"['Stanozolol,', 'testosterone']",Page does not exist.,N/A
Ondrej Kruzel,Slovakia,Weightlifting,['Drostanolone'],/wiki/Ondrej_Kruzel,1988-08-23
Virpi Kuitunen,Finland,Cross-Country skiing,[],/wiki/Virpi_Kuitunen,1976-05-20
Galina Kulakova,Russia,Cross-Country skiing,['Ephedrine'],/wiki/Galina_Kulakova,1942-04-29
Pavel Kulizhnikov,Russia,Speed skating,"['Methylhexanamine,', 'Meldonium']",/wiki/Pavel_Kulizhnikov,1994-04-20
Sumit Kumar,India,Wrestling,['Methylhexanamine'],Page does not exist.,N/A
Saliya Kumara,Sri Lanka,Rugby union,['Methylhexanamine'],Page does not exist.,N/A
Pratima Kumari,India,Weightlifting,[],/wiki/Pratima_Kumari,N/A
Ouyang Kunpeng,China,Swimming,['Clenbuterol'],/wiki/Ouyang_Kunpeng,1982-11-19
Dimitar Kutrovsky,Bulgaria,Tennis,[],/wiki/Dimitar_Kutrovsky,1987-08-27
Alexi Kutsenko,Russia,Swimming,['Testosterone'],Page does not exist.,N/A
Ruza Kuzieva,Uzbekistan,Powerlifting,['Methandienone'],/wiki/Ruza_Kuzieva,1994-03-12
Albert Kuzilov,Georgia,Weightlifting,['Metandienone'],/wiki/Albert_Kuzilov,1985-02-05
Zhassulan Kydyrbayev,Kazakhstan,Weightlifting,['Stanozolol'],/wiki/Zhassulan_Kydyrbayev,1992-09-28
Artur Kyshenko,Ukraine,Kickboxing,[],/wiki/Artur_Kyshenko,1986-11-14
Raimonds Lācis,Latvia,Weightlifting,['Furosemide'],Page does not exist.,N/A
Marina Lacroix,France,Swimming,['Cannabis'],Page does not exist.,N/A
Lee Lacy,United States,Baseball,['Cocaine'],/wiki/Lee_Lacy,1948-04-10
Juha Lallukka,Finland,Cross-country skiing,"['Growth', 'hormone']",/wiki/Juha_Lallukka,1979-10-27
Óscar Lagos,Honduras,Football (soccer),"['Cocaine,', 'marihuana']",/wiki/%C3%93scar_Lagos,1973-06-17
Bernard Lama,France,Football (soccer),['Cannabis'],/wiki/Bernard_Lama,1963-04-07
Eric Lamaze,Canada,Equestrian,['Cocaine'],/wiki/Eric_Lamaze,1968-04-17
Florin Lambagiu,Romania,Kickboxing,"['Winstrol,Turinabol,clostebol,meldonium']",/wiki/Florin_Lambagiu,1996-04-08
Abreu Lamec,Venezuela,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Floyd Landis,United States,Cycling,['Testosterone'],/wiki/Floyd_Landis,1975-10-14
Jeremy Landy,France,Water polo,['Cannabis'],Page does not exist.,N/A
Jose Langberg,Peru,Swimming,['Cannabis'],Page does not exist.,N/A
Dmitry Lapikov,Russia,Weightlifting,['Methylhexaneamine'],/wiki/Dmitry_Lapikov,1982-06-04
Konstantina Lapou,Greece,Weightlifting,[],Page does not exist.,N/A
Arnaud Laroche,France,Swimming,['Testosterone'],Page does not exist.,N/A
Simon Larose,Canada,Tennis,['Cocaine'],/wiki/Simon_Larose,1978-06-28
Mehrullah Lassi,Pakistan,Boxing,['Cannabis'],/wiki/Mehrullah_Lassi,1979-11-24
Pei-Lin Lee,Chinese Taipei,Weightlifting,['Furosemide'],Page does not exist.,N/A
Lassouani Leila,France,Weightlifting,"['Norandrosterone', '4,9', 'ng/ml']",Page does not exist.,N/A
Chun Leung Lau,Hong Kong,Swimming,['Methandienone'],Page does not exist.,N/A
Matt Lawton,United States,Baseball,['Boldenone'],/wiki/Matt_Lawton,1971-11-30
Stan Lazaridis,Australia,Football (soccer),['Finasteride'],/wiki/Stan_Lazaridis,1972-08-16
Larisa Lazutina,Russia,Cross-country skiing,['NESP'],/wiki/Larisa_Lazutina,1965-06-01
Fabien Le Bec,France,Water polo,['Cannabis'],Page does not exist.,N/A
Chris Leben,United States,Mixed martial arts,['Stanozolol'],/wiki/Chris_Leben,1980-07-21
Luc Leblanc,France,Cycling,"['Erythropoietin', '(EPO)', '(self', 'admitted)']",/wiki/Luc_Leblanc,1966-08-04
Yann Lejuste,France,Water polo,['cannabis'],Page does not exist.,N/A
Rasa Leleivytė,Lithuania,Cycling,['EPO'],/wiki/Rasa_Leleivyt%C4%97,1988-07-22
Benoit Lemeunier,France,Swimming,['Cannabis'],Page does not exist.,N/A
Kayle Leogrande,United States,Cycling,"['Erythropoietin', '(non-analytical', 'positive)']",/wiki/Kayle_Leogrande,1977-03-29
Dimitru Leonard,Romania,Weightlifting,['Norandrosterone'],Page does not exist.,N/A
Jeffrey Leonard,United States,Baseball,['Cocaine'],/wiki/Jeffrey_Leonard,1955-09-22
Vladimir Leontiev,Russia,Swimming,['Cannabis'],/wiki/Vladimir_Leontiev,N/A
Kimo Leopoldo,United States,Mixed martial arts,['Stanozolol'],/wiki/Kimo_Leopoldo,1968-01-04
